"","Date","rlc_end_time","Specimen.ID","deltaNPQ","Species","Treatment","Temp...C.","RLC.Time","RLC.Day","Run","pmax","rETRmax","rETRmaxYpoint1","NPQmax","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"402",2023-03-24,"9:32:38","hm116",1.04,"hm",4,27,"9:28:36",5,2,40.25,42,40.47,"1.06",0.969,0.015,63.577,0,41.5,1,40.6,0
"403",2023-03-24,"9:37:44","ul113",0.223,"ul",1,27,"9:33:42",5,2,37.3,38.57,38.57,"0.279",0.895,0.101,8.857,0,41.7,7.4,5.7,0
"404",2023-03-24,"9:42:12","ul114",0.339,"ul",2,27,"9:38:09",5,2,50.75,49.02,49.02,"0.355",0.76,0.035,21.985,0,66.8,5.8,11.5,0
"405",2023-03-24,"9:46:54","ul115",0.354,"ul",3,27,"9:42:51",5,2,77.21,70.68,70.68,"0.36",0.658,0.024,27.33,0,117.3,10.4,11.3,0
"406",2023-03-24,"9:51:36","ul116",0.482,"ul",4,27,"9:47:34",5,2,71.69,65.27,65.27,"0.54",0.654,0.033,19.964,0,109.7,12.9,8.5,0
"407",2023-03-24,"9:56:00","hm117",0.649,"hm",1,30,"9:51:58",5,2,30.95,38.75,31.73,"1.055",0.81,0.039,20.925,0,38.2,2.8,13.8,0
"408",2023-03-24,"9:59:52","hm118",0.736,"hm",2,30,"9:56:20",5,2,54.18,55.44,55.44,"0.953",0.673,0.008,85.953,0,80.5,1.9,41.5,0
"409",2023-03-24,"10:04:48","hm119",0.807,"hm",3,30,"10:00:46",5,2,43.29,52.5,48.45,"0.968",0.821,0.047,17.591,0,52.7,5.2,10.2,0
"410",2023-03-24,"10:09:44","hm120",0.984,"hm",4,30,"10:05:42",5,2,44.59,46.25,45.36,"1.088",0.833,0.01,83.934,0,53.5,1.1,48.2,0
"411",2023-03-24,"10:14:11","ul117",0.284,"ul",1,30,"10:10:08",5,2,46.69,45.98,45.98,"0.341",0.788,0.055,14.341,0,59.3,7.5,7.9,0
"412",2023-03-24,"10:18:33","ul118",0.339,"ul",2,30,"10:14:31",5,2,86.14,77.28,77.28,"0.393",0.639,0.021,30.546,0,134.8,11.3,12,0
"413",2023-03-24,"10:25:09","ul119",0.365,"ul",3,30,"10:21:06",5,2,91.24,82.32,82.32,"0.473",0.667,0.021,31.897,0,136.7,11,12.4,0
"414",2023-03-24,"10:29:29","ul120",0.41,"ul",4,30,"10:25:27",5,2,65.86,59.85,59.85,"0.433",0.651,0.039,16.871,0,101.1,13.6,7.4,0
"415",2023-03-24,"10:34:01","hm121",0.914,"hm",1,30,"10:29:58",5,2,55.8,61.25,60.48,"0.945",0.76,0.021,36.921,0,73.4,4,18.5,0
"416",2023-03-24,"10:38:26","hm122",1.067,"hm",2,30,"10:34:24",5,2,58.41,60.48,60.48,"1.129",0.817,0.026,31.069,0,71.5,4.5,15.8,0
"417",2023-03-24,"10:42:53","hm123",0.576,"hm",3,30,"10:38:51",5,2,71.84,76.88,76.88,"0.623",0.693,0.017,39.706,0,103.6,6,17.3,0
"418",2023-03-24,"10:47:20","hm124",0.926,"hm",4,30,"10:43:17",5,2,58.2,65.1,65.1,"1.122",0.751,0.022,34.219,0,77.5,4.6,16.8,0
"419",2023-03-24,"10:51:50","ul121",0.336,"ul",1,30,"10:47:47",5,2,40.84,39.62,39.62,"0.377",0.682,0.026,26.538,0,59.8,4.1,14.5,0
"420",2023-03-24,"10:57:10","ul122",0.245,"ul",2,30,"10:53:07",5,2,104.21,93.24,93.24,"0.301",0.687,0.022,31.193,0,151.8,13.1,11.6,0
"421",2023-03-24,"11:01:34","ul123",0.364,"ul",3,30,"10:57:31",5,2,97.91,89.04,89.04,"0.428",0.684,0.018,37.138,0,143.2,10.1,14.2,0
