Column 1,Date,Specimen ID,uid,alpha_est,alpha_stderr,alpha_t,alpha_p,ek_est,ek_stderr,ek_t,ek_p,rETRmax,plant ID,ETRmax,Treatment,Species,RLC Day,Lanai Side,Temperature (°C),specific growth rate,run,lunar phase
53,2021-09-21,ul1-1,2021-09-21_ul1-1,0.663,0.049,13.441,0,134.8,12.6,10.7,0,91.14,ul1,38.28,2-35‰,ul,1,D,20,,1,III
54,2021-09-21,ul1-2,2021-09-21_ul1-2,0.708,0.042,17.038,0,125.3,9.1,13.8,0,89.46,ul1,37.57,3-28‰,ul,1,D,20,,1,III
55,2021-09-21,ul1-3,2021-09-21_ul1-3,0.579,0.07,8.231,0,101.1,14.7,6.9,0,61.56,ul1,25.86,4-18‰,ul,1,D,20,,1,III
56,2021-09-21,ul1-4,2021-09-21_ul1-4,0.67,0.04,16.654,0,139.1,10.5,13.2,0,92.4,ul1,38.81,5-11‰,ul,1,D,20,,1,III
57,2021-09-21,hm2-1,2021-09-21_hm2-1,0.537,0.04,13.561,0,154.9,14.7,10.5,0,89.38,hm2,37.54,2-35‰,hm,1,D,20,,1,III
58,2021-09-21,hm2-2,2021-09-21_hm2-2,0.734,0.17,4.305,0.005,73.9,19.9,3.7,0,67.24,hm2,28.24,3-28‰,hm,1,D,20,,1,III
59,2021-09-21,hm2-3,2021-09-21_hm2-3,0.618,0.14,4.429,0.004,100.8,27.3,3.7,0,79.54,hm2,33.41,4-18‰,hm,1,D,20,,1,III
60,2021-09-21,hm2-4,2021-09-21_hm2-4,0.759,0.057,13.344,0,147.8,14.1,10.5,0,118.08,hm2,49.59,5-11‰,hm,1,D,20,,1,III
61,2021-09-21,ul2-1,2021-09-21_ul2-1,0.708,0.179,3.946,0.008,63.4,18.3,3.5,0,52.44,ul2,22.02,2-35‰,ul,1,D,20,,1,III
62,2021-09-21,ul2-2,2021-09-21_ul2-2,0.73,0.242,3.014,0.024,57.3,21.4,2.7,0,49.02,ul2,20.59,3-28‰,ul,1,D,20,,1,III
