date,ID,Species,weight difference,run,lanai side,treatment,temperature,Initial weight,final weight,plant ID,RLC order, lunar phase
10/9/21,Hm3-1,Hm,0.1304,2,diamond,1,27 C,0.2774,0.39455,21,6,I
10/9/21,Hm3-2,Hm,0.0502,2,diamond,2,27 C,0.2617,0.2920,21,6,I
10/9/21,Hm3-3,Hm,0.0204,2,diamond,3,27 C,0.2933,0.3137,21,6,I
10/9/21,Hm3-4,Hm,0.073,2,diamond,4,27 C,0.2781,0.3511,21,6,I
10/9/21,Ul3-1,Ul,0.1048,2,diamond,1,27 C,0.2997,0.4045,21,6,I
10/9/21,Ul3-2,Ul,0.131,2,diamond,2,27 C,0.3038,0.4348,21,6,I
10/9/21,Ul3-3,Ul,0.1376,2,diamond,3,27 C,0.2899,0.4275,21,6,I
10/9/21,Ul3-4,Ul,0.1528,2,diamond,4,27 C,0.2975,0.4503,21,6,I
10/9/21,Hm4-1,Hm,0.125,2,diamond,1,27 C,0.2882,0.40905,22,1,I
10/9/21,Hm4-2,Hm,0.041,2,diamond,2,27 C,0.2858,0.3438,22,1,I
10/9/21,Hm4-3,Hm,0.0856,2,diamond,3,27 C,0.2845,0.3765,22,1,I
10/9/21,Hm4-4,Hm,0.0702,2,diamond,4,27 C,0.27675,0.3651,22,1,I
10/9/21,Ul4-1,Ul,0.1706,2,diamond,1,27 C,0.2845,0.4551,22,1,I
10/9/21,Ul4-2,Ul,0.196,2,diamond,2,27 C,0.3006,0.4966,22,1,I
10/9/21,Ul4-3,Ul,0.142,2,diamond,3,27 C,0.2756,0.4176,22,1,I
10/9/21,Ul4-4,Ul,0.1232,2,diamond,4,27 C,0.2994,0.4226,22,1,I
10/9/21,Hm5-1,Hm,0.0543,2,diamond,1,30 C,0.303,0.32905,23,2,I
10/9/21,Hm5-2,Hm,0.0581,2,diamond,2,30 C,0.2878,0.3309,23,2,I
10/9/21,Hm5-3,Hm,0.0042,2,diamond,3,30 C,0.2907,0.3077,23,2,I
10/9/21,Hm5-4,Hm,-0.1543,2,diamond,4,30 C,0.2895,0.1484,23,2,I
10/9/21,Ul5-1,Ul,0.1917,2,diamond,1,30 C,0.2821,0.4738,23,2,I
10/9/21,Ul5-2,Ul,0.2105,2,diamond,2,30 C,0.3061,0.5166,23,2,I
10/9/21,Ul5-3,Ul,0.2643,2,diamond,3,30 C,0.2999,0.5642,23,2,I
