"","Date","Specimen.ID","uid","Plant.ID","Species","Lanai.Side","Treatment","Temp...C.","RLC.Order","RLC.Day","Run","deltaNPQ","rETRmax","ETRmax","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"255","2021-09-29","ul3-3","2021-09-29_ul3-3",9,"ul","diamond","3",27,2,9,1,"0.584",68.69,28.85,0.789,0.183,4.322,0.003,75.6,20.3,3.7,0
"256","2021-09-29","ul3-4","2021-09-29_ul3-4",9,"ul","diamond","4",27,2,9,1,"0.748",78.12,32.81,0.745,0.105,7.067,0,96.3,16.3,5.9,0
"257","2021-09-29","hm6-1","2021-09-29_hm6-1",12,"hm","diamond","1",30,3,9,1,"0.282",37.72,15.84,0.371,0.025,14.865,0,94.5,7.6,12.5,0
"258","2021-09-29","hm6-2","2021-09-29_hm6-2",12,"hm","diamond","2",30,3,9,1,"0.227",37.72,15.84,0.584,0.055,10.613,0,59.5,6.3,9.4,0
"259","2021-09-29","hm6-3","2021-09-29_hm6-3",12,"hm","diamond","3",30,3,9,1,"0.533",49.2,20.66,0.742,0.275,2.702,0.031,48.5,19.9,2.4,0
"260","2021-09-29","hm6-4","2021-09-29_hm6-4",12,"hm","diamond","4",30,3,9,1,"0.284",40.74,17.11,0.519,0.132,3.939,0.006,65,18.8,3.4,0
"261","2021-09-29","ul6-1","2021-09-29_ul6-1",12,"ul","diamond","1",30,3,9,1,"0.247",53.01,22.26,1.534,1.893,0.81,0.445,26.8,34.6,0.8,0.5
"262","2021-09-29","ul6-2","2021-09-29_ul6-2",12,"ul","diamond","2",30,3,9,1,"0.251",45.03,18.91,1.27,0.936,1.356,0.217,29.5,22.9,1.3,0.2
"263","2021-09-29","ul6-3","2021-09-29_ul6-3",12,"ul","diamond","3",30,3,9,1,"0.369",76.95,32.32,0.889,0.195,4.561,0.003,76.5,19.5,3.9,0
"264","2021-09-29","ul6-4","2021-09-29_ul6-4",12,"ul","diamond","4",30,3,9,1,"0.537",72.66,30.52,0.756,0.125,6.05,0.001,86.2,16.8,5.1,0
"265","2021-09-29","hm5-1","2021-09-29_hm5-1",11,"hm","diamond","1",30,4,9,1,"0.609",60.68,25.49,0.672,0.125,5.386,0.001,73.3,15.7,4.7,0
"266","2021-09-29","hm5-2","2021-09-29_hm5-2",11,"hm","diamond","2",30,4,9,1,"0.447",60.68,25.49,0.551,0.123,4.479,0.003,88,23.2,3.8,0
