"","Date","Specimen.ID","uid","Plant.ID","Species","Lanai.Side","Treatment","Temp...C.","RLC.Order","RLC.Day","Run","deltaNPQ","rETRmax","ETRmax","alpha.1","alpha.2","alpha.3","alpha.4","ek.1","ek.2","ek.3","ek.4"
"163","2021-09-25","hm4-3","2021-09-25_hm4-3",10,"hm","diamond","3",27,3,5,1,"0.81",72.16,30.31,0.673,0.028,24.102,0,116.3,0,9042.2,0
"164","2021-09-25","hm4-4","2021-09-25_hm4-4",10,"hm","diamond","4",27,3,5,1,"0.771",73.53,30.88,0.653,0.048,13.525,0,134.3,14.7,9.1,0
"165","2021-09-25","ul4-1","2021-09-25_ul4-1",10,"ul","diamond","1",27,3,5,1,"0.454",72.96,30.64,0.746,0.037,19.925,0,94.3,6.4,14.8,0
"166","2021-09-25","ul4-2","2021-09-25_ul4-2",10,"ul","diamond","2",27,3,5,1,"0.439",67.83,28.49,0.769,0.032,24.185,0,84.9,4.6,18.5,0
"167","2021-09-25","ul4-3","2021-09-25_ul4-3",10,"ul","diamond","3",27,3,5,1,"0.629",76.02,31.93,0.755,0.017,43.449,0,97.3,0,14363.5,0
"168","2021-09-25","ul4-4","2021-09-25_ul4-4",10,"ul","diamond","4",27,3,5,1,"1.006",97.02,40.75,0.767,0.03,25.152,0,129.3,7.6,17.1,0
"169","2021-09-25","hm3-1","2021-09-25_hm3-1",9,"hm","diamond","1",27,4,5,1,"0.743",57.4,24.11,0.636,0.074,8.616,0,85.1,12.9,6.6,0
"170","2021-09-25","hm3-2","2021-09-25_hm3-2",9,"hm","diamond","2",27,4,5,1,"0.912",54.12,22.73,0.671,0.037,18.142,0,82.5,0,5345.4,0
"171","2021-09-25","hm3-3","2021-09-25_hm3-3",9,"hm","diamond","3",27,4,5,1,"0.728",65.6,27.55,0.646,0.051,12.661,0,100.1,10.8,9.2,0
"172","2021-09-25","hm3-4","2021-09-25_hm3-4",9,"hm","diamond","4",27,4,5,1,"0.517",53.3,22.39,0.62,0.035,17.593,0,88.5,0,5445.4,0
"173","2021-09-25","ul3-1","2021-09-25_ul3-1",9,"ul","diamond","1",27,4,5,1,"0.369",60.99,25.62,0.75,0.03,24.686,0,76.4,3.9,19.4,0
"174","2021-09-25","ul3-2","2021-09-25_ul3-2",9,"ul","diamond","2",27,4,5,1,"0.52",53.3,22.39,0.678,0.048,14.118,0,74.5,6.7,11.2,0
"175","2021-09-25","ul3-3","2021-09-25_ul3-3",9,"ul","diamond","3",27,4,5,1,"0.755",71.82,30.16,0.766,0.038,20.302,0,92,6.1,15.2,0
"176","2021-09-25","ul3-4","2021-09-25_ul3-4",9,"ul","diamond","4",27,4,5,1,"1.085",103.74,43.57,0.742,0.04,18.425,0,136.7,11.1,12.4,0
"177","2021-09-25","hm6-1","2021-09-25_hm6-1",12,"hm","diamond","1",30,5,5,1,"0.844",51.66,21.7,0.668,0.072,9.335,0,84.9,11.9,7.1,0
"178","2021-09-25","hm6-2","2021-09-25_hm6-2",12,"hm","diamond","2",30,5,5,1,"0.866",63.14,26.52,0.679,0.035,19.455,0,107.4,0,6896.9,0
"179","2021-09-25","hm6-3","2021-09-25_hm6-3",12,"hm","diamond","3",30,5,5,1,"0.909",60.42,25.38,0.68,0.07,9.671,0,109.7,15.9,6.9,0
"180","2021-09-25","hm6-4","2021-09-25_hm6-4",12,"hm","diamond","4",30,5,5,1,"0.337",93.48,39.26,0.556,0.012,47.689,0,151.2,4.9,31.1,0
"181","2021-09-25","ul6-1","2021-09-25_ul6-1",12,"ul","diamond","1",30,5,5,1,"0.221",74.95,31.48,0.746,0.037,20.169,0,98.2,6.6,14.8,0
"182","2021-09-25","ul6-2","2021-09-25_ul6-2",12,"ul","diamond","2",30,5,5,1,"0.581",74.95,31.48,0.777,0.032,24.519,0,94,5.2,18.2,0
"183","2021-09-25","ul6-3","2021-09-25_ul6-3",12,"ul","diamond","3",30,5,5,1,"0.629",89.04,37.4,0.74,0.032,23.032,0,115.6,7.1,16.2,0
"184","2021-09-25","ul6-4","2021-09-25_ul6-4",12,"ul","diamond","4",30,5,5,1,"0.77",94.08,39.51,0.741,0.037,19.971,0,122.4,8.9,13.8,0
"185","2021-09-25","hm5-1","2021-09-25_hm5-1",11,"hm","diamond","1",30,6,5,1,"0.792",65.6,27.55,0.65,0.03,21.999,0,97.8,0,7299,0
"186","2021-09-25","hm5-2","2021-09-25_hm5-2",11,"hm","diamond","2",30,6,5,1,"0.793",74.62,31.34,0.626,0.017,35.828,0,125.5,0,14195.4,0
"187","2021-09-25","hm5-3","2021-09-25_hm5-3",11,"hm","diamond","3",30,6,5,1,"0.89",72.16,30.31,0.668,0.051,12.987,0,109.9,11.9,9.2,0
"188","2021-09-25","hm5-4","2021-09-25_hm5-4",11,"hm","diamond","4",30,6,5,1,"0.713",85.22,35.79,0.628,0.027,23.059,0,164.6,0,11127.2,0
"189","2021-09-25","ul5-1","2021-09-25_ul5-1",11,"ul","diamond","1",30,6,5,1,"0.364",60.13,25.25,0.744,0.033,22.399,0,78.8,4.5,17.5,0
"190","2021-09-25","ul5-2","2021-09-25_ul5-2",11,"ul","diamond","2",30,6,5,1,"0.666",77.81,32.68,0.767,0.048,15.999,0,94.8,8,11.9,0
"191","2021-09-25","ul5-3","2021-09-25_ul5-3",11,"ul","diamond","3",30,6,5,1,"0.465",75.18,31.58,0.751,0.035,21.572,0,95.2,6,16,0
"192","2021-09-25","ul5-4","2021-09-25_ul5-4",11,"ul","diamond","4",30,6,5,1,"0.819",106.26,44.63,0.727,0.046,15.632,0,141.8,13.7,10.4,0
"193","2021-09-28","hm4-1","2021-09-28_hm4-1",4,"hm","ewa","1",27,1,9,1,"0.653",67.24,28.24,0.63,0.02,30.918,0,107.5,4.9,22.1,0
"194","2021-09-28","hm4-3","2021-09-28_hm4-3",4,"hm","ewa","3",27,1,9,1,"0.601",86.92,36.51,0.62,0.013,48.464,0,134.8,4.1,32.6,0
"195","2021-09-28","hm4-2","2021-09-28_hm4-2",4,"hm","ewa","2",27,1,9,1,"0.357",53.3,22.39,0.615,0.039,15.952,0,56.8,4.2,13.5,0
"196","2021-09-28","hm4-4","2021-09-28_hm4-4",4,"hm","ewa","4",27,1,9,1,"0.618",53.3,22.39,0.6,0.065,9.275,0,74.9,10.2,7.3,0
"197","2021-09-28","ul4-1","2021-09-28_ul4-1",4,"ul","ewa","1",27,1,9,1,"0.421",54.15,22.74,0.766,0.045,17.019,0,69,5,13.8,0
"198","2021-09-28","ul4-2","2021-09-28_ul4-2",4,"ul","ewa","2",27,1,9,1,"0.482",50.16,21.07,0.753,0.039,19.211,0,64.2,4.1,15.8,0
"199","2021-09-28","ul4-3","2021-09-28_ul4-3",4,"ul","ewa","3",27,1,9,1,"0.569",45.41,19.07,0.757,0.069,10.922,0,58.6,6.4,9.2,0
"200","2021-09-28","ul4-4","2021-09-28_ul4-4",4,"ul","ewa","4",27,1,9,1,"0.799",70.97,29.81,0.747,0.055,13.683,0,89.4,8.7,10.3,0
"201","2021-09-28","hm3-1","2021-09-28_hm3-1",3,"hm","ewa","1",27,2,9,1,"0.442",48.72,20.46,0.641,0.019,34.06,0,68.9,2.5,27.5,0
"202","2021-09-28","hm3-2","2021-09-28_hm3-2",3,"hm","ewa","2",27,2,9,1,"0.481",50.84,21.35,0.651,0.038,17.258,0,55.3,3.8,14.7,0
"203","2021-09-28","hm3-3","2021-09-28_hm3-3",3,"hm","ewa","3",27,2,9,1,"0.749",45.03,18.91,0.646,0.065,10.018,0,78,9.9,7.8,0
"204","2021-09-28","hm3-4","2021-09-28_hm3-4",3,"hm","ewa","4",27,2,9,1,"0.659",68.11,28.61,0.619,0.028,22.074,0,126.4,0,8789.3,0
"205","2021-09-28","ul3-1","2021-09-28_ul3-1",3,"ul","ewa","1",27,2,9,1,"0.207",28.98,12.17,0.725,0.135,5.355,0.001,42.3,8.7,4.9,0
"206","2021-09-28","ul3-2","2021-09-28_ul3-2",3,"ul","ewa","2",27,2,9,1,"0.358",44.17,18.55,0.725,0.028,25.837,0,56.2,2.6,22,0
"207","2021-09-28","ul3-3","2021-09-28_ul3-3",3,"ul","ewa","3",27,2,9,1,"0.523",53.3,22.39,0.791,0.046,17.104,0,67.6,4.9,13.9,0
"208","2021-09-28","ul3-4","2021-09-28_ul3-4",3,"ul","ewa","4",27,2,9,1,"0.532",61.84,25.97,0.773,0.036,21.359,0,81.4,4.9,16.5,0
"209","2021-09-28","hm6-1","2021-09-28_hm6-1",6,"hm","ewa","1",20,3,9,1,"0.994",79.52,33.4,0.687,0.046,14.89,0,136.8,13.7,10,0
"210","2021-09-28","hm6-2","2021-09-28_hm6-2",6,"hm","ewa","2",20,3,9,1,"0.608",78.72,33.06,0.6,0.032,18.657,0,137.5,11,12.5,0
"211","2021-09-28","hm6-3","2021-09-28_hm6-3",6,"hm","ewa","3",20,3,9,1,"0.662",73.08,30.69,0.588,0.019,31.183,0,143.4,0,13601.2,0
"212","2021-09-28","hm6-4","2021-09-28_hm6-4",6,"hm","ewa","4",20,3,9,1,"0.573",80.36,33.75,0.596,0.02,29.263,0,139.8,7.2,19.5,0
"213","2021-09-28","ul6-1","2021-09-28_ul6-1",6,"ul","ewa","1",20,3,9,1,"0.372",78.96,33.16,0.73,0.02,37.11,0,103.4,0,12808.5,0
"214","2021-09-28","ul6-2","2021-09-28_ul6-2",6,"ul","ewa","2",20,3,9,1,"0.354",45.22,18.99,0.742,0.049,15.009,0,61.6,4.9,12.5,0
"215","2021-09-28","ul6-3","2021-09-28_ul6-3",6,"ul","ewa","3",20,3,9,1,"0.726",68.11,28.61,0.766,0.036,21.268,0,91.1,5.7,15.9,0
"216","2021-09-28","ul6-4","2021-09-28_ul6-4",6,"ul","ewa","4",20,3,9,1,"0.852",79.38,33.34,0.737,0.028,26.342,0,109.2,5.8,18.8,0
"217","2021-09-28","hm5-1","2021-09-28_hm5-1",5,"hm","ewa","1",20,4,9,1,"0.622",79.54,33.41,0.63,0.041,15.506,0,113.1,10.3,11,0
"218","2021-09-28","hm5-2","2021-09-28_hm5-2",5,"hm","ewa","2",20,4,9,1,"0.441",64.78,27.21,0.516,0.018,29.023,0,120,0,11138.7,0
"219","2021-09-28","hm5-3","2021-09-28_hm5-3",5,"hm","ewa","3",20,4,9,1,"0.53",86.92,36.51,0.536,0.017,31.702,0,178.8,0,16266,0
"220","2021-09-28","hm5-4","2021-09-28_hm5-4",5,"hm","ewa","4",20,4,9,1,"0.745",99.22,41.67,0.623,0.03,20.791,0,187.6,14.7,12.8,0
"221","2021-09-28","ul5-1","2021-09-28_ul5-1",5,"ul","ewa","1",20,4,9,1,"0.437",56.72,23.82,0.719,0.02,36.753,0,74.3,0,10059.7,0
"222","2021-09-28","ul5-2","2021-09-28_ul5-2",5,"ul","ewa","2",20,4,9,1,"0.542",58.8,24.7,0.749,0.041,18.269,0,74.6,5.2,14.5,0
"223","2021-09-28","ul5-3","2021-09-28_ul5-3",5,"ul","ewa","3",20,4,9,1,"0.541",43.32,18.19,0.743,0.058,12.769,0,58.5,5.4,10.8,0
"224","2021-09-28","ul5-4","2021-09-28_ul5-4",5,"ul","ewa","4",20,4,9,1,"0.618",70.98,29.81,0.694,0.033,21.284,0,106.1,6.9,15.3,0
"225","2021-09-28","hm2-1","2021-09-28_hm2-1",2,"hm","ewa","1",30,5,9,1,"0.62",57.4,24.11,0.621,0.017,37.427,0,94.2,0,12097.4,0
"226","2021-09-28","hm2-2","2021-09-28_hm2-2",2,"hm","ewa","2",30,5,9,1,"0.797",49.14,20.64,0.617,0.074,8.357,0,97.6,15.9,6.1,0
"227","2021-09-28","hm2-3","2021-09-28_hm2-3",2,"hm","ewa","3",30,5,9,1,"0.909",75.44,31.68,0.659,0.025,25.963,0,133,0,10723.1,0
